STATION_NAME,DATE,AVEMAX
COTTONWOOD WEIR UT US,19420401,64.4
COTTONWOOD WEIR UT US,19420501,68.4
COTTONWOOD WEIR UT US,19420601,81.9
COTTONWOOD WEIR UT US,19420701,94.8
COTTONWOOD WEIR UT US,19420801,92.7
COTTONWOOD WEIR UT US,19420901,82.8
COTTONWOOD WEIR UT US,19421001,68.4
COTTONWOOD WEIR UT US,19421101,54
COTTONWOOD WEIR UT US,19421201,41.5
COTTONWOOD WEIR UT US,19430101,41.9
COTTONWOOD WEIR UT US,19430201,46
COTTONWOOD WEIR UT US,19430301,53.1
COTTONWOOD WEIR UT US,19430401,72
COTTONWOOD WEIR UT US,19430501,71.6
COTTONWOOD WEIR UT US,19430601,78.1
COTTONWOOD WEIR UT US,19430701,92.5
COTTONWOOD WEIR UT US,19430801,92.3
COTTONWOOD WEIR UT US,19430901,87.3
COTTONWOOD WEIR UT US,19431001,69.1
COTTONWOOD WEIR UT US,19431101,52.7
COTTONWOOD WEIR UT US,19431201,41
COTTONWOOD WEIR UT US,19440101,34.7
COTTONWOOD WEIR UT US,19440201,41.9
COTTONWOOD WEIR UT US,19440301,46.9
COTTONWOOD WEIR UT US,19440401,57.6
COTTONWOOD WEIR UT US,19440501,72.7
COTTONWOOD WEIR UT US,19440601,75.9
COTTONWOOD WEIR UT US,19440701,92.3
COTTONWOOD WEIR UT US,19440801,92.7
COTTONWOOD WEIR UT US,19440901,83.3
COTTONWOOD WEIR UT US,19441001,72.1
COTTONWOOD WEIR UT US,19441101,48.4
COTTONWOOD WEIR UT US,19441201,40.5
COTTONWOOD WEIR UT US,19450101,42.8
COTTONWOOD WEIR UT US,19450201,46.8
COTTONWOOD WEIR UT US,19450301,50.7
COTTONWOOD WEIR UT US,19450401,58.1
COTTONWOOD WEIR UT US,19450501,74.3
COTTONWOOD WEIR UT US,19450601,75.2
COTTONWOOD WEIR UT US,19450701,93
COTTONWOOD WEIR UT US,19450801,89.4
COTTONWOOD WEIR UT US,19450901,78.8
COTTONWOOD WEIR UT US,19451001,70.2
COTTONWOOD WEIR UT US,19451101,51.8
